D1,D2,RR,EXP_PROB1,EXP_PROB0,AR,PROBZ
1000,699,1.15111,0.000962,0.000836,0.000126,0.059636
1000,1003,0.692087,0.170129,0.24582,-0.075691,0
1000,1005,0.73282,0.00035,0.000477,-0.000127,0.010676
1000,1006,0.74815,0.512996,0.685685,-0.172689,0
1000,1007,0.921065,0.00069,0.000749,-0.000059,0.346742
1000,1018,0.609209,0.010567,0.017345,-0.006778,0
1000,1024,0.507116,0.007151,0.014102,-0.006951,0
1000,1026,0.751148,0.002395,0.003189,-0.000794,0
1000,1039,0.964776,0.00034,0.000352,-0.000012,0.773708
1000,1040,1.051402,0.000602,0.000573,0.000029,0.594009
1000,1044,0.614725,0.00548,0.008915,-0.003435,0
1000,1051,0.616004,0.20829,0.338131,-0.129841,0
1000,1058,0.593826,0.076196,0.128313,-0.052117,0
1000,1059,0.703047,0.086636,0.123229,-0.036593,0
1000,1064,0.694427,0.143715,0.206955,-0.06324,0
1000,1067,0.810932,0.003838,0.004733,-0.000895,0
1000,1070,0.644761,0.010304,0.015981,-0.005677,0
1000,1071,0.526296,0.000889,0.001689,-0.0008,0
1000,1072,0.666529,0.054805,0.082225,-0.02742,0
1000,1073,0.750726,0.095478,0.127181,-0.031703,0
1000,1084,0.731691,0.000364,0.000498,-0.000134,0.008823
1000,1093,0.483972,0.00104,0.002148,-0.001108,0
1000,1094,0.69528,0.004139,0.005953,-0.001814,0
1000,1095,0.842166,0.003746,0.004448,-0.000702,4.00E-06
1000,1130,0.964681,0.000316,0.000327,-0.000011,0.781147
1000,1134,0.799218,0.000325,0.000407,-0.000082,0.07663
1000,1136,0.826199,0.000408,0.000494,-0.000086,0.091614
1000,1139,0.768363,0.02089,0.027188,-0.006298,0
1000,1140,0.753483,0.02724,0.036152,-0.008912,0
1000,1146,0.765989,0.001443,0.001884,-0.000441,9.00E-06
1000,1147,0.679122,0.02071,0.030496,-0.009786,0
1000,1149,0.720072,0.007501,0.010417,-0.002916,0
1000,1150,0.591816,0.005091,0.008603,-0.003512,0
1000,1151,0.701791,0.00035,0.000498,-0.000148,0.003587
1000,1153,0.835975,0.000923,0.001104,-0.000181,0.017293
1000,1157,0.738031,0.005995,0.008123,-0.002128,0
1000,1159,0.475171,0.000758,0.001595,-0.000837,0
1000,1162,0.574296,0.002356,0.004103,-0.001747,0
1000,1163,0.600868,0.002405,0.004002,-0.001597,0
1000,1167,0.595698,0.029625,0.049732,-0.020107,0
1000,1169,0.623689,0.00035,0.000561,-0.000211,0.000098
1000,1172,0.803111,0.000257,0.000321,-0.000064,0.123483
1000,1173,0.679261,0.000607,0.000894,-0.000287,0.000027
1000,1175,0.810254,0.000248,0.000306,-0.000058,0.147197
1000,1176,0.677196,0.003318,0.0049,-0.001582,0
1000,1178,0.631124,0.000612,0.00097,-0.000358,1.00E-06
1000,1180,0.673365,0.002808,0.00417,-0.001362,0
1000,1185,1.003674,0.000287,0.000286,1.00E-06,0.978496
1000,1190,0.826038,0.011825,0.014315,-0.00249,0
1000,1191,0.720557,0.000321,0.000445,-0.000124,0.009924
1000,1193,0.624775,0.000398,0.000638,-0.00024,0.000034
1000,1196,0.553374,0.011514,0.020807,-0.009293,0
1000,1197,0.638107,0.003041,0.004766,-0.001725,0
1000,1202,0.683187,0.000772,0.001131,-0.000359,3.00E-06
1000,1203,1.202141,0.000374,0.000311,0.000063,0.125304
1000,1205,1.059155,0.000972,0.000917,0.000055,0.437711
1000,1206,0.892468,0.014788,0.01657,-0.001782,0
1000,1207,0.814203,0.021444,0.026337,-0.004893,0
1000,1209,0.818499,0.001423,0.001739,-0.000316,0.00094
1000,1211,0.8187,0.001535,0.001875,-0.00034,0.000601
1000,1212,0.834724,0.007443,0.008916,-0.001473,0
1000,1213,0.684908,0.013141,0.019187,-0.006046,0
1000,1214,0.684548,0.027901,0.040758,-0.012857,0
1000,1215,0.635511,0.02279,0.035861,-0.013071,0
1000,1216,0.699344,0.000991,0.001417,-0.000426,1.00E-06
1000,1217,0.517116,0.008069,0.015605,-0.007536,0
1000,1224,0.723372,0.001122,0.001551,-0.000429,2.00E-06
1000,1225,0.772482,0.000831,0.001075,-0.000244,0.001104
1000,1230,0.711497,0.005203,0.007313,-0.00211,0
1000,1231,0.838516,0.04147,0.049456,-0.007986,0
1000,1234,0.727759,0.002949,0.004052,-0.001103,0
1000,1235,0.839571,0.004844,0.005769,-0.000925,0
1000,1236,0.731118,0.000554,0.000758,-0.000204,0.001207
1000,1237,0.703253,0.000442,0.000629,-0.000187,0.001134
1000,1238,0.731122,0.001589,0.002173,-0.000584,0
1000,1239,0.648333,0.001836,0.002832,-0.000996,0
1000,1240,0.607294,0.0005,0.000824,-0.000324,1.00E-06
1000,1242,0.709884,0.226528,0.319105,-0.092577,0
1000,1243,0.682521,0.066829,0.097915,-0.031086,0
1000,1244,0.715999,0.422089,0.589511,-0.167422,0
1000,1245,0.653289,0.013962,0.021373,-0.007411,0
1000,1246,0.697039,0.024218,0.034744,-0.010526,0
1000,1247,0.671389,0.084367,0.125661,-0.041294,0
1000,1248,0.699913,0.000636,0.000909,-0.000273,0.000075
1000,1249,0.873969,0.002176,0.00249,-0.000314,0.006039
1000,1250,0.757414,0.000564,0.000744,-0.00018,0.003807
1000,1252,0.738971,0.017091,0.023128,-0.006037,0
1000,1253,1.153608,0.001001,0.000868,0.000133,0.051108
1000,1255,0.790076,0.008604,0.01089,-0.002286,0
1000,1256,0.765975,0.003658,0.004776,-0.001118,0
1000,1258,0.729255,0.002074,0.002845,-0.000771,0
1000,1259,0.676033,0.034755,0.051411,-0.016656,0
1000,1260,0.612117,0.000763,0.001246,-0.000483,0
1000,1261,0.781771,0.435818,0.557476,-0.121658,0
1000,1262,0.66372,0.017805,0.026826,-0.009021,0
1000,1263,0.75144,0.001001,0.001332,-0.000331,0.000072
1000,1264,0.664313,0.005072,0.007635,-0.002563,0
1000,1265,0.726992,0.191704,0.263695,-0.071991,0
1000,1266,0.707934,0.309826,0.437648,-0.127822,0
1000,1267,0.666264,0.017664,0.026513,-0.008849,0
1000,1268,0.684184,0.00841,0.012291,-0.003881,0
1000,1270,0.792438,0.015323,0.019336,-0.004013,0
1000,1271,0.731612,0.018859,0.025778,-0.006919,0
1000,1272,0.592452,0.011985,0.02023,-0.008245,0
1000,1273,0.718108,0.008346,0.011623,-0.003277,0
1000,1277,1.071569,0.002764,0.00258,0.000184,0.11526
1000,1278,0.708201,0.000403,0.000569,-0.000166,0.00232
1000,1279,0.80349,0.000491,0.000611,-0.00012,0.033839
1000,1284,0.784372,0.000753,0.00096,-0.000207,0.003491
1000,1286,0.661325,0.000364,0.000551,-0.000187,0.000507
1000,1292,0.80954,0.000413,0.00051,-0.000097,0.060197
1000,1293,0.820363,0.003765,0.00459,-0.000825,0
1000,1295,0.711621,0.000262,0.000369,-0.000107,0.015436
1000,1298,0.726822,0.00051,0.000702,-0.000192,0.001547
1000,1299,0.84306,0.000991,0.001176,-0.000185,0.018787
1000,1301,0.668202,0.000811,0.001214,-0.000403,0
1000,1303,1.090408,0.000437,0.000401,0.000036,0.433755
1000,1305,0.602352,0.019151,0.031794,-0.012643,0
1000,1306,0.847945,0.001938,0.002286,-0.000348,0.001494
1000,1308,0.903825,0.676615,0.748612,-0.071997,0
1000,1309,0.847943,0.657877,0.77585,-0.117973,0
1000,1310,0.697204,0.265821,0.381267,-0.115446,0
1000,1311,0.706326,0.400441,0.566935,-0.166494,0
1000,1312,0.609944,0.1771,0.290355,-0.113255,0
1000,1313,1.003458,0.717525,0.715052,0.002473,0.016974
