D1,D2,RR,EXP_PROB1,EXP_PROB0,AR,PROBZ
1000,699,1.00491662,0.000656881,0.000653667,3.21E-06,0.956500578
1000,1003,0.687611904,0.15932264,0.231704307,-0.072381667,0
1000,1005,0.639063953,0.00027048,0.000423245,-0.000152765,0.001157653
1000,1006,0.743478421,0.495529828,0.666501964,-0.170972136,0
1000,1007,0.802377907,0.000574771,0.000716335,-0.000141564,0.020791239
1000,1018,0.615133213,0.011065548,0.017988865,-0.006923317,0
1000,1024,0.542816583,0.00635146,0.011700933,-0.005349473,0
1000,1026,0.765375601,0.002279764,0.002978621,-0.000698857,2.07E-08
1000,1035,1.36665364,0.000874231,0.000639688,0.000234543,0.0000802
1000,1038,0.823869,0.001284782,0.00155945,-0.000274668,0.0023702
1000,1039,0.887581876,0.000937022,0.001055702,-0.00011868,0.111214102
1000,1040,1.087881413,0.002366704,0.002175516,0.000191188,0.076232057
1000,1044,0.596945859,0.005588319,0.009361518,-0.003773199,0
1000,1051,0.638333779,0.210105343,0.329146521,-0.119041178,0
1000,1058,0.626976018,0.08600795,0.137179011,-0.051171061,0
1000,1059,0.721473075,0.083404576,0.115603172,-0.032198596,0
1000,1064,0.699227017,0.127729558,0.182672516,-0.054942958,0
1000,1067,0.774683526,0.002699974,0.003485261,-0.000785287,5.76E-09
1000,1070,0.669640363,0.008022643,0.011980525,-0.003957882,0
1000,1071,0.60809957,0.000941852,0.001548844,-0.000606992,1.50E-11
1000,1072,0.662227854,0.048725119,0.073577575,-0.024852456,0
1000,1073,0.723886322,0.103613329,0.143134807,-0.039521478,0
1000,1084,0.67622842,0.000342931,0.000507122,-0.000164191,0.001416984
1000,1093,0.535639519,0.001477982,0.002759286,-0.001281304,0
1000,1094,0.678038189,0.013905593,0.020508569,-0.006602976,0
1000,1095,0.708258228,0.003125015,0.004412254,-0.001287239,0
1000,1130,0.84581122,0.00025116,0.000296946,-0.000045786,0.246146844
1000,1136,0.794454271,0.000323611,0.000407337,-0.000083726,0.069794167
1000,1139,0.769023534,0.020150793,0.02620309,-0.006052297,0
1000,1140,0.738594909,0.028419766,0.038478151,-0.010058385,0
1000,1141,0.93599558,0.001014302,0.001083661,-0.000069359,0.359072849
1000,1143,0.876492679,0.002608204,0.002975729,-0.000367525,0.003266589
1000,1146,0.774856032,0.001608393,0.002075731,-0.000467338,7.18E-06
1000,1147,0.785931017,0.038499993,0.048986478,-0.010486485,0
1000,1149,0.839945149,0.014263013,0.016980887,-0.002717874,0
1000,1150,0.628857245,0.005554509,0.008832703,-0.003278194,0
1000,1151,0.609558013,0.000309121,0.000507122,-0.000198001,0.00012028
1000,1153,0.752599637,0.000724501,0.000962665,-0.000238164,0.000783847
1000,1157,0.746609995,0.013910423,0.018631445,-0.004721022,0
1000,1159,0.521074203,0.000738991,0.001418207,-0.000679216,3.77E-15
1000,1162,0.440879711,0.014634924,0.033194823,-0.018559899,0
1000,1163,0.592810414,0.002313574,0.003902721,-0.001589147,0
1000,1167,0.547615016,0.100647704,0.183792813,-0.083145109,0
1000,1168,0.965348678,0.003680466,0.003812577,-0.000132111,0.351618015
1000,1172,0.694928803,0.00026565,0.00038227,-0.00011662,0.009042196
1000,1173,0.814069185,0.001019132,0.001251898,-0.000232766,0.004038475
1000,1176,0.658704857,0.004622318,0.007017282,-0.002394964,0
1000,1178,0.699937816,0.000966002,0.001380125,-0.000414123,1.06E-06
1000,1180,0.630469157,0.001883703,0.00298778,-0.001104077,0
1000,1185,1.235971608,0.000362251,0.00029309,0.000069161,0.08338379
1000,1190,0.829376266,0.009254295,0.011158138,-0.001903843,2.66E-15
1000,1193,0.605266227,0.000357421,0.000590518,-0.000233097,0.0000273
1000,1196,0.569633956,0.011379499,0.019976861,-0.008597362,0
1000,1197,0.561358754,0.003579036,0.006375666,-0.00279663,0
1000,1202,0.620409278,0.000386401,0.000622816,-0.000236415,0.0000341
1000,1203,1.279385664,0.000458851,0.000358649,0.000100202,0.02370469
